"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TECHM","EQ","12-Jun-2013","        968.00","        977.80","        992.00","        963.00","        976.05","        978.80","        978.94","     807573","           790565800.40","      62444","     410818","         50.87"
"TECHM","EQ","13-Jun-2013","        978.80","        970.95","        977.00","        951.25","        966.05","        971.65","        968.18","     400881","           388126914.80","      21567","     227053","         56.64"
"TECHM","EQ","14-Jun-2013","        971.65","        981.05","        989.00","        962.20","        963.75","        965.75","        974.60","     350675","           341768823.00","      24499","     169382","         48.30"
"TECHM","EQ","17-Jun-2013","        965.75","        965.50","        974.65","        951.00","        972.00","        971.40","        968.46","     175269","           169741110.50","      13015","      65029","         37.10"
"TECHM","EQ","18-Jun-2013","        971.40","        967.00","        984.70","        967.00","        978.00","        977.85","        979.36","     228613","           223895241.45","      12244","     120661","         52.78"
"TECHM","EQ","19-Jun-2013","        977.85","        978.00","       1021.70","        975.95","       1013.70","       1012.30","       1003.26","     667569","           669744809.75","      27741","     232770","         34.87"
"TECHM","EQ","20-Jun-2013","       1012.30","       1013.00","       1027.45","        980.60","        984.80","        984.35","       1010.06","     797299","           805320876.95","      50702","     303785","         38.10"
"TECHM","EQ","21-Jun-2013","        984.35","        984.10","       1009.90","        981.10","        994.85","        995.50","        999.48","     687497","           687139611.00","      32336","     370360","         53.87"
"TECHM","EQ","24-Jun-2013","        995.50","        984.00","       1013.45","        984.00","       1005.00","       1002.00","       1001.91","     930829","           932607742.95","      85482","     693428","         74.50"
"TECHM","EQ","25-Jun-2013","       1002.00","       1013.95","       1024.40","       1003.25","       1011.05","       1009.85","       1012.39","     874936","           885775919.25","      83509","     594287","         67.92"
"TECHM","EQ","26-Jun-2013","       1009.85","       1015.00","       1048.90","       1015.00","       1039.00","       1038.80","       1036.91","    1065516","          1104843191.95","      51353","     724670","         68.01"
"TECHM","EQ","27-Jun-2013","       1038.80","       1051.95","       1098.00","       1040.25","       1085.90","       1080.80","       1075.61","    1221152","          1313480452.75","      53024","     600991","         49.22"
"TECHM","EQ","28-Jun-2013","       1080.80","       1095.00","       1095.00","       1050.10","       1054.50","       1059.80","       1063.47","     592159","           629744402.55","      76462","     349353","         59.00"
"TECHM","EQ","01-Jul-2013","       1059.80","       1056.00","       1069.40","       1025.50","       1039.00","       1034.45","       1043.35","     627810","           655026075.80","      33474","     333987","         53.20"
"TECHM","EQ","02-Jul-2013","       1034.45","       1039.00","       1042.25","        976.30","       1007.10","       1002.20","        997.56","    1510283","          1506599070.05","      58608","     783981","         51.91"
"TECHM","EQ","03-Jul-2013","       1002.20","       1008.55","       1027.00","        965.00","       1006.30","        999.10","       1001.35","    1865395","          1867906170.40","      58737","     856450","         45.91"
"TECHM","EQ","04-Jul-2013","        999.10","       1026.00","       1037.00","       1011.90","       1036.20","       1031.45","       1025.89","    1023392","          1049887564.45","      34615","     488389","         47.72"
"TECHM","EQ","05-Jul-2013","       1031.45","       1057.50","       1057.50","       1031.80","       1035.55","       1038.65","       1039.75","     672025","           698735690.70","      36093","     285351","         42.46"
"TECHM","EQ","08-Jul-2013","       1038.65","       1032.00","       1050.75","       1016.00","       1045.35","       1045.70","       1042.59","     361379","           376771101.35","      20015","     137294","         37.99"
"TECHM","EQ","09-Jul-2013","       1045.70","       1048.00","       1058.00","       1035.65","       1041.00","       1042.70","       1047.79","     358296","           375419456.90","      19336","     130696","         36.48"
"TECHM","EQ","10-Jul-2013","       1042.70","       1046.00","       1091.50","       1042.70","       1074.30","       1079.25","       1070.69","     905634","           969650664.05","      26961","     470794","         51.99"
"TECHM","EQ","11-Jul-2013","       1079.25","       1086.00","       1088.25","       1055.15","       1067.75","       1066.45","       1071.02","     829693","           888616462.30","      26457","     475537","         57.31"
"TECHM","EQ","12-Jul-2013","       1066.45","       1075.00","       1127.85","       1072.00","       1120.10","       1121.90","       1100.81","    3390810","          3732644477.10","      82229","    1968818","         58.06"
"TECHM","EQ","15-Jul-2013","       1121.90","       1122.10","       1132.25","       1101.95","       1106.30","       1111.90","       1117.79","    1072107","          1198395529.40","      46876","     484227","         45.17"
"TECHM","EQ","16-Jul-2013","       1111.90","       1092.00","       1109.90","       1082.00","       1092.15","       1092.40","       1092.17","     585032","           638953251.30","      33019","     269573","         46.08"
"TECHM","EQ","17-Jul-2013","       1092.40","       1090.00","       1129.90","       1082.35","       1096.50","       1094.40","       1110.40","     975948","          1083690012.10","      40456","     466982","         47.85"
"TECHM","EQ","18-Jul-2013","       1094.40","       1103.70","       1116.30","       1082.15","       1089.00","       1091.30","       1093.27","     908625","           993376817.10","      39075","     578926","         63.71"
"TECHM","EQ","19-Jul-2013","       1091.30","       1113.50","       1141.45","       1102.80","       1132.00","       1132.30","       1126.43","    1874051","          2110983593.10","      56002","    1152056","         61.47"
"TECHM","EQ","22-Jul-2013","       1132.30","       1132.00","       1184.65","       1130.00","       1173.05","       1171.70","       1168.35","    1691078","          1975777499.60","      85396","     995993","         58.90"
"TECHM","EQ","23-Jul-2013","       1171.70","       1180.00","       1194.00","       1160.50","       1179.55","       1179.15","       1180.84","    1410195","          1665215268.70","      51232","     814505","         57.76"
"TECHM","EQ","24-Jul-2013","       1179.15","       1173.95","       1221.50","       1170.05","       1209.00","       1207.65","       1205.53","    1592852","          1920233964.10","      66576","     925314","         58.09"
"TECHM","EQ","25-Jul-2013","       1207.65","       1203.15","       1219.00","       1169.30","       1182.85","       1179.70","       1187.77","    2462900","          2925364128.70","      50546","    1516555","         61.58"
"TECHM","EQ","26-Jul-2013","       1179.70","       1182.80","       1225.60","       1181.00","       1222.70","       1217.75","       1212.25","    1067937","          1294601866.05","      54176","     559346","         52.38"
"TECHM","EQ","29-Jul-2013","       1217.75","       1208.25","       1251.00","       1208.25","       1248.50","       1248.60","       1241.16","     885510","          1099063118.85","      54537","     469483","         53.02"
"TECHM","EQ","30-Jul-2013","       1248.60","       1252.00","       1262.00","       1216.85","       1226.50","       1232.25","       1247.29","    1232350","          1537102337.75","      71690","     748904","         60.77"
"TECHM","EQ","31-Jul-2013","       1232.25","       1235.00","       1254.70","       1224.00","       1248.05","       1246.30","       1243.38","     843098","          1048291706.90","      55286","     519533","         61.62"
"TECHM","EQ","01-Aug-2013","       1246.30","       1248.60","       1260.80","       1230.80","       1254.00","       1251.60","       1246.69","     706940","           881337149.25","      22716","     402011","         56.87"
"TECHM","EQ","02-Aug-2013","       1251.60","       1256.50","       1275.00","       1200.50","       1229.50","       1233.20","       1247.12","    1106512","          1379954149.55","      44892","     477564","         43.16"
"TECHM","EQ","05-Aug-2013","       1233.20","       1231.00","       1277.00","       1228.80","       1269.00","       1263.80","       1262.63","     792481","          1000607204.90","      42996","     405644","         51.19"
"TECHM","EQ","06-Aug-2013","       1263.80","       1264.00","       1265.20","       1230.05","       1236.00","       1233.40","       1241.46","     927666","          1151660006.70","      34500","     530454","         57.18"
"TECHM","EQ","07-Aug-2013","       1233.40","       1234.00","       1259.95","       1210.30","       1224.00","       1229.40","       1243.17","    1100030","          1367528628.55","      44037","     764892","         69.53"
"TECHM","EQ","08-Aug-2013","       1229.40","       1229.00","       1255.00","       1219.80","       1253.00","       1244.65","       1234.95","    1157416","          1429345122.15","      33997","     800554","         69.17"
"TECHM","EQ","12-Aug-2013","       1244.65","       1250.00","       1292.00","       1241.20","       1279.80","       1266.50","       1263.73","    1853564","          2342410718.15","      60324","     725257","         39.13"
"TECHM","EQ","13-Aug-2013","       1266.50","       1280.70","       1338.50","       1278.20","       1333.95","       1331.05","       1317.66","    1620777","          2135626976.50","      59155","     699469","         43.16"
"TECHM","EQ","14-Aug-2013","       1331.05","       1340.00","       1346.85","       1301.50","       1319.90","       1321.15","       1330.85","    1006780","          1339872937.55","      58331","     489930","         48.66"
"TECHM","EQ","16-Aug-2013","       1321.15","       1315.00","       1335.00","       1297.50","       1320.40","       1324.45","       1322.76","    1254399","          1659267120.75","      60759","     694964","         55.40"
"TECHM","EQ","19-Aug-2013","       1324.45","       1320.00","       1333.75","       1282.00","       1293.95","       1294.00","       1303.03","    1305182","          1700695166.50","      71128","     796536","         61.03"
